id,fecha,producto,cantidad,precio_unitario
1,2024-01-05,Notebook,3,85000
2,2024-01-12,Mouse,10,4500
3,2024-01-20,Teclado,7,8200
4,2024-02-03,Monitor,2,120000
5,2024-02-14,Notebook,1,85000
6,2024-02-22,Auriculares,5,12000
7,2024-03-01,Mouse,8,4500
8,2024-03-10,Teclado,4,8200
9,2024-03-18,Monitor,3,120000
10,2024-03-25,Notebook,2,85000
11,2024-04-02,Auriculares,6,12000
12,2024-04-11,Mouse,12,4500
13,2024-04-19,Teclado,9,8200
14,2024-05-05,Notebook,4,85000
15,2024-05-13,Monitor,1,120000
16,2024-05-21,Auriculares,3,12000
17,2024-06-04,Mouse,15,4500
18,2024-06-12,Teclado,6,8200
19,2024-06-20,Notebook,2,85000
20,2024-06-28,Monitor,2,120000
21,2024-07-03,Auriculares,8,12000
22,2024-07-11,Mouse,11,4500
23,2024-07-19,Notebook,3,85000
24,2024-08-02,Teclado,5,8200
25,2024-08-10,Monitor,4,120000
26,2024-08-18,Auriculares,7,12000
27,2024-09-01,Mouse,9,4500
28,2024-09-09,Notebook,1,85000
29,2024-09-17,Teclado,8,8200
30,2024-10-05,Monitor,2,120000
31,2024-10-13,Auriculares,4,12000
32,2024-10-21,Mouse,13,4500
33,2024-11-04,Notebook,5,85000
34,2024-11-12,Teclado,7,8200
35,2024-11-20,Monitor,3,120000
36,2024-12-03,Auriculares,9,12000
37,2024-12-11,Mouse,14,4500
38,2024-12-19,Notebook,2,85000
39,2024-12-27,Teclado,6,8200
40,2024-12-30,Monitor,1,120000
